asset_code,asset_issuer,cnt
CUMMIES,GDNQRYTC7Z3WZ7BKHXDHHSOP6UAYBWGBLHD5G6UZLQP5AUTPCOTBXMB5,1246058
AZCARDINALS,GC6ZZ547SKJMFLYQ73SWEWUJZNXAOI5UHWH2KFBQBVKWTFODLAKUNNFL,1243238
SDOG,GA2RWXMOCASLFYL2GQTRDLALXYARQAWZMQVSOIFFOOF6GDZ2A3QX5A4R,1229384
Awakening,GBAMUHCS5UYTJAAKCJCCLSPJ5ZEWL3W5FCX56DUH3T4ICG5YDW275UT7,1227151
TIDE,GCEDUCADAS7GPOZFBMFXLFN377IAH3C7ZKXFZIXHN7SQFRYNZA2RJ7OI,1226267
ATZS,GDNUVPUOMWOF2ML5FA5E4HQDX7EHV3VCJTLLTO563PUMZKMHJUJIJSYI,1206582
ARWF,GDNUVPUOMWOF2ML5FA5E4HQDX7EHV3VCJTLLTO563PUMZKMHJUJIJSYI,1201932
MOONPLAY,GCCXY466HCX3UYLPHGSHTCNQGHV4SBRLC4XFVPZHW6BOV5PXFQ3JRGJQ,1198876
XTZ,GCQEKCSJ7IQTEEOT57T5LXKEYPPEBZGODQZHUYOBW6HKNSXUXAMH376F,1190709
GSD,GBNBKXNYEZ76UJE5CQFVKWP2S2PQIK3SDM3VWEWLIXGCJHL4YCVOBF2Z,1176947
AMZN,GDNUVPUOMWOF2ML5FA5E4HQDX7EHV3VCJTLLTO563PUMZKMHJUJIJSYI,1157380
USD,GAVAD72MKI7CWOR5QIH452SO47N2JQEQO3IMIFUXDS5U6GXLSEGYELAX,1152267
TELE,GBLB7GJZU4YJ45VSBKCERJ3FL2CSG26TCKKCW4QVNBJ3GOEQGOE34XEI,1150135
AmericaFirst,GB3UZEXHR6T6DSTFFZXDAIQR25D3JPF4YT5NPF6TWW6WIL3FQAHAGSTF,1140498
ONION,GCGDJRNCU4CKFAB3RXMAXJHI75KRKEMNILAYNLNHNE3UMN7ALEXWLPWS,1132909
GRE,GBOKLHXOXBISEKY7K4YV37A3I6KSWSNIJ6VLKKDHECIOAHUI7UTKOYKK,1131902
CM3,GDU2FEL6THGGOFDHHP4I5FHNWY4S2SXYUBCEDB5ZREMD6UFRT4SYWSW2,1130428
TrumpCard,GBZVCYOIKCF7YG6ICF7IUNJ2JHVUKI66ULAEVIIOCBQIVQGK53Q4433U,1117156
SGB,GAME5YNKHIPRSMN2BI3HLS3OYD4NE6FQ2WKUUJPYYM6GU4MRDUBPHN6B,1114388
ABIF,GDNUVPUOMWOF2ML5FA5E4HQDX7EHV3VCJTLLTO563PUMZKMHJUJIJSYI,1108129
KRPT,GCX5C5K2LZCM3F5FKKCHPQDQY3DC2K4BAXZGFMD6LGBNCXW6QTPVTREW,1099217
MDOGE,GBVXQYO6WS62QWMJMTQBQZLZAED5VLKEXCUKSQJVN4I3M3AH3KRHX676,1091413
MAGA,GA32JBA7D72HNI6B5PB4EZQMC34TCQFQK7MGYXJ2KAKTGXU2QMWSGLD7,1079102
